Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
2020-10-20,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-20,"Pizza, Cheese, Slice",Lunch,2,Each,480,18,2,60,9,6,2,40,820
2020-10-20,Mellow yellow zero,Lunch,22,Ounces,9,0,0,0,n/a,0,0,0,45.83
2020-10-20,"Chips, Tortilla, Restaurant Style, Original",Dinner,67,Grams,335,16.75,4.79,45.46,2.39,0,2.39,0,275.18
2020-10-20,"Chips, Tortilla, Restaurant Style, Original",Dinner,40,Grams,200,10,2.86,27.14,1.43,0,1.43,0,164.29
2020-10-20,"Milk, 2%, w/ Vitamin A & D",Dinner,76,Milliliters,39,1.55,2.59,3.76,0.98,3.97,0,6.27,36.84
2020-10-20,"Cookie, Chocolate Chip, Small",Dinner,137,Grams,622,28.25,6.71,89.12,13.62,51.85,3.29,0,372.64
2020-10-20,Google Fit Workout,Exercise,33,minutes,468.55,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-20,Steps Bonus,Exercise,-1,minutes,227.304,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-21,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-21,Baby Cut Carrots,Lunch,112,Grams,46,0,1.32,10.54,0,6.58,2.63,0,85.60
2020-10-21,"Peanut Butter, Creamy",Lunch,1.333,Tablespoons,125,10.75,5.35,4.17,2.24,1.97,1.28,0,97.90
2020-10-21,Nonfat Vanilla Yogurt,Lunch,1.5,Cups,120,0,7,22,n/a,20,0,5,105
2020-10-21,"Popcorn, White Cheddar Cheese",Lunch,47,Grams,269,16.79,5.4,23.5,3.36,3.36,3.36,0,486.79
2020-10-21,"Crust, Hand Tossed, Med",Dinner,0.5,Each,530,11.50,16.50,90.5,3,4.5,3,0,595
2020-10-21,Chocolate Bar,Dinner,1,Serving,280,16,4,35,10,32,2,10,45
2020-10-21,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-21,Google Fit Workout,Exercise,27,minutes,323.012,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-21,Google Fit Workout,Exercise,8,minutes,173.007,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-22,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-22,"Crust, Hand Tossed, Med",Lunch,0.5,Each,530,11.50,16.50,90.5,3,4.5,3,0,595
2020-10-22,Tortilla Medium,Dinner,1,Serving,130,3,3,20,1,0,1,0,246.67
2020-10-22,Pure Clover Honey,Dinner,0.666,Tablespoon,40,0,0,11.32,n/a,10.66,n/a,n/a,0
2020-10-22,"Peanut Butter, Creamy",Dinner,2,Tablespoons,188,16.12,8.3,6.26,3.36,2.95,1.92,0,146.88
2020-10-22,"Popcorn, White Cheddar Cheese",Dinner,29,Grams,166,10.36,3.11,14.5,2.7,2.7,2.7,0,300.36
2020-10-22,"Chips, Tortilla, Restaurant Style, Original",Snacks,42,Grams,210,10.50,3,28.5,1.50,0,1.50,0,172.50
2020-10-22,Google Fit Workout,Exercise,12,minutes,211.4,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-22,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-23,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-23,"Chips, Tortilla, Restaurant Style, Original",Lunch,105,Grams,525,26.25,7.50,71.25,3.75,0,3.75,0,431.25
2020-10-23,"Popcorn, White Cheddar Cheese",Lunch,39,Grams,223,13.93,4.18,19.5,2.79,2.79,2.79,0,403.93
2020-10-23,"Soylent, Original, 2.0",Dinner,1,Bottle,400,21,20,36,2,1,3,0,300
2020-10-23,Google Fit Workout,Exercise,10,minutes,176.019,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-23,Google Fit Workout,Exercise,17,minutes,139.968,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-23,Steps Bonus,Exercise,-1,minutes,207.9,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-24,Nonfat Vanilla Yogurt,Breakfast,1.5,Cups,120,0,7,22,n/a,20,0,5,105
2020-10-24,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-24,"Popcorn, White Cheddar Cheese",Lunch,38,Grams,217,13.57,4.7,19,2.71,2.71,2.71,0,393.57
2020-10-24,"Peanuts, Cocktail",Lunch,69,Pieces,335,27.60,13.80,9.86,3.94,1.97,3.94,0,187.29
2020-10-24,"Popcorn, White Cheddar Cheese",Dinner,28,Grams,160,10,3,14,2,2,2,0,290
2020-10-24,Pure Clover Honey,Dinner,0.666,Tablespoon,40,0,0,11.32,n/a,10.66,n/a,n/a,0
2020-10-24,"Peanut Butter, Creamy",Dinner,2,Tablespoons,188,16.12,8.3,6.26,3.36,2.95,1.92,0,146.88
2020-10-24,Tortilla Medium,Dinner,1,Serving,130,3,3,20,1,0,1,0,246.67
2020-10-24,Chocolate Chip Cookie Ice Cream Sandwich,Dinner,1,Serving,380,15,3,57,6,34,1,10,210
2020-10-24,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-25,Nonfat Vanilla Yogurt,Breakfast,1.5,Cups,120,0,7,22,n/a,20,0,5,105
2020-10-25,"Nuts, Peanuts, Cocktail",Breakfast,46,Grams,279,23,11.50,8.21,3.29,1.64,3.29,0,188.93
2020-10-25,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-25,"Doritos, Cool Ranch",Lunch,2.5,Servings,375,20,5,45,2.50,2.50,5,0,450
2020-10-25,Mellow Yellow,Lunch,591.5,Milliliters,290,0,n/a,78,n/a,n/a,n/a,n/a,75
2020-10-25,"Soylent, Original, 2.0",Dinner,1,Bottle,400,21,20,36,2,1,3,0,300
2020-10-25,Baby Cut Carrots,Snacks,159,Grams,65,0,1.87,14.96,0,9.35,3.74,0,121.52
2020-10-25,Google Fit Workout,Exercise,2,minutes,15.7447,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-25,Google Fit Workout,Exercise,11,minutes,166.23,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-25,Google Fit Workout,Exercise,18,minutes,142.925,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-25,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-26,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-26,"Chips, Tortilla, Restaurant Style, Original",Lunch,53,Grams,265,13.25,3.79,35.96,1.89,0,1.89,0,217.68
2020-10-26,4 Cheese Mexican Blend,Lunch,2,Servings,220,18,12,2,12,0,0,50,400
2020-10-26,"Salsa, Chunky, Mild",Lunch,12,Tablespoons,60,0,0,12,0,12,3,0,1500.18
2020-10-26,"Cookie, Chocolate Chip, Small",Dinner,75,Grams,341,15.46,3.67,48.79,7.46,28.39,1.80,0,204
2020-10-26,"Popcorn, White Cheddar Cheese",Snacks,75,Grams,429,26.79,8.4,37.5,5.36,5.36,5.36,0,776.79
2020-10-26,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27,"Chips, Tortilla, Restaurant Style, Original",Breakfast,48,Grams,240,12,3.43,32.57,1.71,0,1.71,0,197.14
2020-10-27,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-27,"Pizza, Cheese, Slice",Lunch,1.5,Each,360,13.50,1.50,45,6.75,4.50,1.50,30,615
2020-10-27,"Soda, Sprite, Lemon-lime",Lunch,8,Fluid ounces,93,0,0,25.33,0,25.33,0,0,46.67
2020-10-27,"Chips, Tortilla, Restaurant Style, Original",Dinner,130,Grams,650,32.50,9.29,88.21,4.64,0,4.64,0,533.93
2020-10-27,"Chips, Tortilla, Restaurant Style, Original",Snacks,50,Grams,250,12.50,3.57,33.93,1.79,0,1.79,0,205.36
2020-10-27,4 Cheese Mexican Blend,Snacks,1.666,Servings,183,14.99,10,1.67,10,0,0,41.65,333.20
2020-10-27,"Salsa, Chunky, Mild",Snacks,9.333,Tablespoons,47,0,0,9.33,0,9.33,2.33,0,1166.77
2020-10-27,Google Fit Workout,Exercise,33,minutes,484.619,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27,Google Fit Workout,Exercise,21,minutes,167.532,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-27,Steps Bonus,Exercise,-1,minutes,246.015,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-28,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-28,"Peanut Butter, Creamy",Lunch,4,Tablespoons,376,32.25,16.6,12.52,6.73,5.90,3.84,0,293.76
2020-10-28,Pure Clover Honey,Lunch,1,Tablespoon,60,0,0,17,n/a,16,n/a,n/a,0
2020-10-28,Tortilla Medium,Lunch,2,Servings,260,6,6,40,2,0,2,0,493.33
2020-10-28,"Cookie, Chocolate Chip, Small",Lunch,109,Grams,495,22.48,5.34,70.9,10.83,41.26,2.62,0,296.48
2020-10-28,"Popcorn, Butter, Microwave",Dinner,10,Cups,425,30,5,42.5,15,0,7.50,0,950
2020-10-28,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-29,"Milk, 2%, w/ Vitamin A & D",Breakfast,106,Milliliters,55,2.16,3.61,5.25,1.37,5.53,0,8.75,51.38
2020-10-29,"Cereal, Cheerios",Breakfast,35,Grams,125,2.50,3.75,25,0.63,1.25,3.75,0,175
2020-10-29,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-29,"Pizza, Cheese, Slice",Lunch,2,Each,480,18,2,60,9,6,2,40,820
2020-10-29,"Peanuts, Cocktail",Dinner,70,Pieces,340,28,14,10,4,2,4,0,190
2020-10-29,"Soda, Mountain Dew",Snacks,1,Can,170,0,0,46,0,46,0,0,60
2020-10-29,Google Fit Workout,Exercise,37,minutes,487.01,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-29,Steps Bonus,Exercise,-1,minutes,396.865,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-30,"Cereal, Cheerios",Breakfast,40,Grams,143,2.86,4.29,28.57,0.71,1.43,4.29,0,200
2020-10-30,"Milk, 2%, w/ Vitamin A & D",Breakfast,125,Milliliters,64,2.55,4.25,6.19,1.61,6.52,0,10.31,60.59
2020-10-30,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-30,"Peanut Butter, Creamy",Lunch,4,Tablespoons,376,32.25,16.6,12.52,6.73,5.90,3.84,0,293.76
2020-10-30,Tortilla Medium,Lunch,2,Servings,260,6,6,40,2,0,2,0,493.33
2020-10-30,Pure Clover Honey,Lunch,1,Tablespoon,60,0,0,17,n/a,16,n/a,n/a,0
2020-10-30,"Popcorn, White Cheddar Cheese",Lunch,29,Grams,166,10.36,3.11,14.5,2.7,2.7,2.7,0,300.36
2020-10-30,Pop'ems Glazed Donut Holes,Lunch,1,Piece,58,13.81,2.13,29.75,6.38,18.6,1.6,5.31,180.63
2020-10-30,"Pizza, Cheese, Slice",Dinner,1.25,Each,300,11.25,1.25,37.5,5.63,3.75,1.25,25,512.50
2020-10-30,Mellow yellow zero,Dinner,36,Ounces,15,0,0,0,n/a,0,0,0,75
2020-10-30,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-31,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-31,4 Cheese Mexican Blend,Lunch,2.25,Servings,248,20.25,13.50,2.25,13.50,0,0,56.25,450
2020-10-31,"Chips, Tortilla, Restaurant Style, Original",Lunch,60,Grams,300,15,4.29,40.71,2.14,0,2.14,0,246.43
2020-10-31,"Soda, Mountain Dew",Lunch,1,Can,170,0,0,46,0,46,0,0,60
2020-10-31,"Pizza, Cheese, Slice",Dinner,2,Each,480,18,2,60,9,6,2,40,820
2020-10-31,"Skittles, Fun Size - 1 pack",Dinner,0.5,Package,120,0.30,0,7,0.30,n/a,n/a,n/a,n/a
2020-10-31,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-01,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-01,"Chips, Tortilla, Restaurant Style, Original",Breakfast,57,Grams,285,14.25,4.7,38.68,2.4,0,2.4,0,234.11
2020-11-01,"Pizza, Cheese, Slice",Lunch,2,Each,480,18,2,60,9,6,2,40,820
2020-11-01,Mellow yellow zero,Lunch,30,Ounces,13,0,0,0,n/a,0,0,0,62.50
2020-11-01,"Chips, Tortilla, Restaurant Style, Original",Dinner,56,Grams,280,14,4,38,2,0,2,0,230
2020-11-01,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-02,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-02,"Chips, Tortilla, Restaurant Style, Original",Lunch,56,Grams,280,14,4,38,2,0,2,0,230
2020-11-02,Chocolate Chip Cookie Ice Cream Sandwich,Lunch,1,Serving,380,15,3,57,6,34,1,10,210
2020-11-02,"Popcorn, White Cheddar Cheese",Dinner,45,Grams,257,16.7,4.82,22.5,3.21,3.21,3.21,0,466.7
2020-11-02,"Chips, Tortilla, Restaurant Style, Original",Snacks,100,Grams,500,25,7.14,67.86,3.57,0,3.57,0,410.71
2020-11-02,"Soda, Mountain Dew",Snacks,1,Can,170,0,0,46,0,46,0,0,60
2020-11-02,Google Fit Workout,Exercise,10,minutes,138.634,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-02,Google Fit Workout,Exercise,10,minutes,140.016,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-02,Steps Bonus,Exercise,-1,minutes,238.92,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-03,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-03,"Pizza, Cheese, Slice",Lunch,1.333,Each,320,12,1.33,39.99,6,4,1.33,26.66,546.53
2020-11-03,"Popcorn, White Cheddar Cheese",Dinner,52,Grams,297,18.57,5.57,26,3.71,3.71,3.71,0,538.57
2020-11-03,"Popcorn, White Cheddar Cheese",Snacks,35,Grams,200,12.50,3.75,17.5,2.50,2.50,2.50,0,362.50
2020-11-03,"Soda, Mountain Dew",Snacks,1,Can,170,0,0,46,0,46,0,0,60
2020-11-03,Google Fit Workout,Exercise,34,minutes,478.064,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-03,Steps Bonus,Exercise,-1,minutes,225.498,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-04,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-04,Small Flour Tortilla,Lunch,1,Piece,75,2.25,1.50,12,1,0.50,0.50,0,160
2020-11-04,Pure Clover Honey,Lunch,0.5,Tablespoon,30,0,0,8.5,n/a,8,n/a,n/a,0
2020-11-04,"Peanut Butter, Creamy",Lunch,1,Tablespoon,94,8.6,4.1,3.13,1.68,1.48,0.96,0,73.44
2020-11-04,"Popcorn, White Cheddar Cheese",Lunch,28,Grams,160,10,3,14,2,2,2,0,290
2020-11-04,"Peanuts, Cocktail",Lunch,28,Pieces,136,11.20,5.60,4,1.60,0.80,1.60,0,76
2020-11-04,"Cookie, Chocolate Chip, Small",Dinner,75,Grams,341,15.46,3.67,48.79,7.46,28.39,1.80,0,204
2020-11-04,"Popcorn, White Cheddar Cheese",Dinner,80,Grams,457,28.57,8.57,40,5.71,5.71,5.71,0,828.57
2020-11-04,"Candy, Sugar Free Pep-o-mint",Snacks,8,Pieces,80,0,0,30,0,0,0,0,0
2020-11-04,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-05,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-05,"Soda, Mountain Dew",Lunch,1,Can,170,0,0,46,0,46,0,0,60
2020-11-05,"Soylent, Original, 2.0",Lunch,1,Bottle,400,21,20,36,2,1,3,0,300
2020-11-05,"Cracker, Triscuit, Rosemary & Olive Oil, Baked",Dinner,12,Pieces,240,8,6,40,0,0,6,0,260
2020-11-05,Nonfat Vanilla Yogurt,Dinner,2.333,Cups,187,0,10.89,34.22,n/a,31.11,0,7.78,163.31
2020-11-05,"Soda, Mountain Dew",Dinner,1,Can,170,0,0,46,0,46,0,0,60
2020-11-05,"Cracker, Triscuit, Rosemary & Olive Oil, Baked",Snacks,6,Pieces,120,4,3,20,0,0,3,0,130
2020-11-05,Google Fit Workout,Exercise,35,minutes,494.602,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-05,Google Fit Workout,Exercise,16,minutes,81.2742,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-05,Steps Bonus,Exercise,-1,minutes,320.705,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-06,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-06,"Soda, Mountain Dew",Lunch,2,Cans,340,0,0,92,0,92,0,0,120
2020-11-06,"Salsa, Jack's Special, Medium",Lunch,14.5,Tablespoons,73,0,0,14.5,0,14.50,0,0,833.75
2020-11-06,"Chips, Tortilla, White Corn",Lunch,56,Grams,280,12,4,40,1,0,2,0,230
2020-11-06,4 Cheese Mexican Blend,Lunch,1.666,Servings,183,14.99,10,1.67,10,0,0,41.65,333.20
2020-11-06,"Cracker, Triscuit, Rosemary & Olive Oil, Baked",Dinner,7,Pieces,140,4.67,3.50,23.33,0,0,3.50,0,151.67
2020-11-06,"Soylent, Original, 2.0",Dinner,1,Bottle,400,21,20,36,2,1,3,0,300
2020-11-06,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-07,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-07,"Chips, Tortilla, White Corn",Lunch,56,Grams,280,12,4,40,1,0,2,0,230
2020-11-07,BlueberryToaster Pastry,Lunch,2,Servings,360,14,4,54,5,20,2,0,360
2020-11-07,"Soda, Mountain Dew",Lunch,1,Can,170,0,0,46,0,46,0,0,60
2020-11-07,"Salsa, Jack's Special, Medium",Lunch,9,Tablespoons,45,0,0,9,0,9,0,0,517.50
2020-11-07,"Chips, Tortilla, White Corn",Dinner,135,Grams,675,28.93,9.64,96.43,2.41,0,4.82,0,554.46
2020-11-07,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-08,Nonfat Vanilla Yogurt,Breakfast,1,Cup,160,0,9.33,29.33,n/a,26.67,0,6.67,140
2020-11-08,BlueberryToaster Pastry,Breakfast,2,Servings,360,14,4,54,5,20,2,0,360
2020-11-08,"Peanuts, Cocktail",Lunch,28,Pieces,136,11.20,5.60,4,1.60,0.80,1.60,0,76
2020-11-08,"Cracker, Triscuit, Rosemary & Olive Oil, Baked",Lunch,6,Pieces,120,4,3,20,0,0,3,0,130
2020-11-08,4 Cheese Mexican Blend,Dinner,2,Servings,220,18,12,2,12,0,0,50,400
2020-11-08,"Chips, Tortilla, White Corn",Dinner,50,Grams,250,10.71,3.57,35.71,0.89,0,1.79,0,205.36
2020-11-08,"Salsa, Jack's Special, Medium",Dinner,18,Tablespoons,90,0,0,18,0,18,0,0,1035
2020-11-08,"Popcorn, Butter Light",Snacks,1,Serving,200,7,4,31,1,0,5,0,250
2020-11-08,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-09,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-09,"Chips, Tortilla, Restaurant Style, Original",Lunch,60,Grams,300,15,4.29,40.71,2.14,0,2.14,0,246.43
2020-11-09,4 Cheese Mexican Blend,Lunch,1.5,Servings,165,13.50,9,1.5,9,0,0,37.50,300
2020-11-09,Medium Popcorn,Dinner,1,Container,300,35,9,81,35,n/a,3,n/a,330
2020-11-09,"Soda, Sprite, Lemon-lime",Dinner,30,Fluid ounces,350,0,0,95,0,95,0,0,175
2020-11-09,Skittles,Dinner,0.75,Cup,480,4.50,0,111,4.50,90,0,0,30
2020-11-09,"Chips, Tortilla, White Corn",Snacks,58,Grams,290,12.43,4.14,41.43,1.4,0,2.7,0,238.21
2020-11-09,Google Fit Workout,Exercise,25725,minutes,152.347,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-09,Steps Bonus,Exercise,-1,minutes,260.736,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-10,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-10,"Soylent, Original, 2.0",Breakfast,1,Bottle,400,21,20,36,2,1,3,0,300
2020-11-10,"Pizza, Cheese, Slice",Lunch,1.25,Each,300,11.25,1.25,37.5,5.63,3.75,1.25,25,512.50
2020-11-10,Mellow yellow zero,Lunch,30,Ounces,13,0,0,0,n/a,0,0,0,62.50
2020-11-10,"Chips, Tortilla, Restaurant Style, Original",Dinner,100,Grams,500,25,7.14,67.86,3.57,0,3.57,0,410.71
2020-11-10,Skittles,Snacks,0.5,Cup,320,3,0,74,3,60,0,0,20
2020-11-10,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-11,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-11,"Cracker, Triscuit, Rosemary & Olive Oil, Baked",Lunch,10,Pieces,200,6.67,5,33.33,0,0,5,0,216.67
2020-11-11,"Crust, Hand Tossed, Large",Dinner,0.5,Each,710,15.50,22.50,122,3.50,6,4,0,800
2020-11-11,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-12,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-12,"Crust, Hand Tossed, Large",Lunch,0.5,Each,710,15.50,22.50,122,3.50,6,4,0,800
2020-11-12,"Popcorn, Butter, Microwave",Dinner,10,Cups,425,30,5,42.5,15,0,7.50,0,950
2020-11-12,Google Fit Workout,Exercise,28,minutes,219.843,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-12,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-13,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-13,"Nuts, Peanuts, Cocktail",Lunch,32,Grams,194,16,8,5.71,2.29,1.14,2.29,0,131.43
2020-11-13,"Pizza, Cheese, Slice",Lunch,2,Each,480,18,2,60,9,6,2,40,820
2020-11-13,"Waffles, Plain, Homemade",Lunch,1,Each,218,10.57,5.92,24.68,2.15,0,0,51.75,383.25
2020-11-13,"Syrup, Maple",Lunch,4,Tablespoons,209,0.16,0,53.67,0.2,47.62,0,0,7.20
2020-11-13,"Chips, Tortilla, White Corn",Dinner,57,Grams,285,12.21,4.7,40.71,1.2,0,2.4,0,234.11
2020-11-13,"Salsa, Jack's Special, Medium",Dinner,16,Tablespoons,80,0,0,16,0,16,0,0,920
2020-11-13,Google Fit Workout,Exercise,19,minutes,148.637,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-13,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-14,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-14,"Cereal, Cheerios",Lunch,47,Grams,168,3.36,5.4,33.57,0.84,1.68,5.4,0,235
2020-11-14,"Milk, 2%, w/ Vitamin A & D",Lunch,193,Milliliters,100,3.94,6.57,9.55,2.49,10.7,0,15.92,93.55
2020-11-14,"Cookies, Chips Ahoy",Lunch,5,Each,267,13.33,1.67,36.67,4.17,18.33,1.67,0,183.33
2020-11-14,Baby Cut Carrots,Dinner,142,Grams,58,0,1.67,13.36,0,8.35,3.34,0,108.53
2020-11-14,"Peanut Butter, Creamy",Dinner,2,Tablespoons,188,16.12,8.3,6.26,3.36,2.95,1.92,0,146.88
2020-11-14,"Cookies, Chips Ahoy",Snacks,2,Each,107,5.33,0.67,14.67,1.67,7.33,0.67,0,73.33
2020-11-14,"Chips, Tortilla, Restaurant Style, Original",Snacks,31,Grams,155,7.75,2.21,21.4,1.11,0,1.11,0,127.32
2020-11-14,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-15,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-15,"Cereal, Cheerios",Breakfast,47,Grams,168,3.36,5.4,33.57,0.84,1.68,5.4,0,235
2020-11-15,"Milk, 2%, w/ Vitamin A & D",Breakfast,200,Milliliters,103,4.8,6.81,9.9,2.58,10.44,0,16.50,96.94
2020-11-15,"Pizza, Cheese, Slice",Lunch,2,Each,480,18,2,60,9,6,2,40,820
2020-11-15,Mellow yellow zero,Lunch,30,Ounces,13,0,0,0,n/a,0,0,0,62.50
2020-11-15,"Chips, Tortilla, Restaurant Style, Original",Dinner,56,Grams,280,14,4,38,2,0,2,0,230
2020-11-15,"Salsa, Jack's Special, Medium",Dinner,19,Tablespoons,95,0,0,19,0,19,0,0,1092.50
2020-11-15,"Milk, 2%, w/ Vitamin A & D",Snacks,101,Milliliters,52,2.6,3.44,5,1.30,5.27,0,8.33,48.96
2020-11-15,"Cookies, Chips Ahoy",Snacks,6,Each,320,16,2,44,5,22,2,0,220
2020-11-15,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-16,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-16,"Chips, Tortilla, Restaurant Style, Original",Lunch,63,Grams,315,15.75,4.50,42.75,2.25,0,2.25,0,258.75
2020-11-16,"Salsa, Jack's Special, Medium",Lunch,15,Tablespoons,75,0,0,15,0,15,0,0,862.50
2020-11-16,"Drink, Ion4, Orange",Lunch,225,Milliliters,51,0,0,13.95,0,13.95,0,0,47.55
2020-11-16,"Popcorn, Butter Light",Dinner,2,Servings,400,14,8,62,2,0,10,0,500
2020-11-16,"Cookies, Chips Ahoy",Dinner,4,Each,213,10.67,1.33,29.33,3.33,14.67,1.33,0,146.67
2020-11-16,"Chips, Tortilla, Restaurant Style, Original",Snacks,28,Grams,140,7,2,19,1,0,1,0,115
2020-11-16,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-11-17,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-11-17,Pure Clover Honey,Lunch,0.5,Tablespoon,30,0,0,8.5,n/a,8,n/a,n/a,0
