Date,Name,Type,Quantity,Units,Calories,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
2020-10-09,"Salsa, Fresh Tomato",Dinner,125,Grams,32,0,0,1.26,0,1.26,1.26,0,693.4
2020-10-09,Baby Cut Carrots,Snacks,160,Grams,66,0,1.88,15.5,0,9.41,3.76,0,122.28
2020-10-09,"Peanut Butter, Creamy",Snacks,1.5,Tablespoons,143,12,5.25,4.5,2.25,2.25,1.50,0,112.50
2020-10-09,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-10,"Cereal, Cheerios",Breakfast,40,Grams,143,2.86,4.29,28.57,0.71,1.43,4.29,0,200
2020-10-10,"Milk, 2%, w/ Vitamin A & D",Breakfast,130,Milliliters,67,2.65,4.42,6.44,1.68,6.78,0,10.73,63.1
2020-10-10,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-10,Banana,Lunch,1,Serving,105,0.40,1.30,27,0.10,14,3.10,0,1
2020-10-10,"Chips, Tortilla, Restaurant Style, Original",Lunch,80,Grams,400,20,5.71,54.29,2.86,0,2.86,0,328.57
2020-10-10,"Drink, Ion4, Orange",Lunch,16,Fluid ounces,107,0,0,29.33,0,29.33,0,0,100
2020-10-10,"Salsa, Fresh Tomato",Lunch,283,Grams,71,0,0,2.85,0,2.85,2.85,0,1569.5
2020-10-10,"Salsa, Fresh Tomato",Snacks,170,Grams,43,0,0,1.71,0,1.71,1.71,0,942.54
2020-10-10,"Chips, Tortilla, Restaurant Style, Original",Snacks,80,Grams,400,20,5.71,54.29,2.86,0,2.86,0,328.57
2020-10-10,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-11,BlueberryToaster Pastry,Breakfast,2,Servings,360,14,4,54,5,20,2,0,360
2020-10-11,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-11,Banana,Lunch,1,Serving,105,0.40,1.30,27,0.10,14,3.10,0,1
2020-10-11,Medium Popcorn,Snacks,1,Container,300,35,9,81,35,n/a,3,n/a,330
2020-10-11,Mellow Yellow,Snacks,32,Fluid ounces,464,0,n/a,124.8,n/a,n/a,n/a,n/a,120
2020-10-11,"Soda, Mountain Dew",Snacks,428,Milliliters,205,0,0,55.46,0,55.46,0,0,72.34
2020-10-11,Steps Bonus,Exercise,-1,minutes,337.68,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-11,Google Fit Workout,Exercise,18,minutes,93.9897,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-11,Google Fit Workout,Exercise,31,minutes,161.768,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-11,Google Fit Workout,Exercise,39,minutes,467.571,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-12,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-12,"Pizza, Cheese, Slice",Lunch,2,Each,480,18,2,60,9,6,2,40,820
2020-10-12,Mellow yellow zero,Lunch,22,Ounces,9,0,0,0,n/a,0,0,0,45.83
2020-10-12,"Soda, Mountain Dew",Dinner,412,Milliliters,197,0,0,53.39,0,53.39,0,0,69.63
2020-10-12,BlueberryToaster Pastry,Dinner,2,Servings,360,14,4,54,5,20,2,0,360
2020-10-12,Steps Bonus,Exercise,-1,minutes,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-13,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-13,"Cereal, Cheerios",Lunch,42,Grams,150,3,4.50,30,0.75,1.50,4.50,0,210
2020-10-13,"Milk, 2%, w/ Vitamin A & D",Lunch,131,Milliliters,68,2.68,4.46,6.48,1.69,6.84,0,10.81,63.50
2020-10-13,Banana,Lunch,0.5,Serving,53,0.20,0.65,13.5,0.5,7,1.55,0,0.50
2020-10-13,"Chips, Tortilla, Restaurant Style, Original",Dinner,56,Grams,280,14,4,38,2,0,2,0,230
2020-10-13,4 Cheese Mexican Blend,Dinner,2.5,Servings,275,22.50,15,2.5,15,0,0,62.50,500
2020-10-13,"Soda, Mountain Dew",Dinner,352,Milliliters,169,0,0,45.61,0,45.61,0,0,59.49
2020-10-13,"Salsa, Fresh Tomato",Dinner,260,Grams,66,0,0,2.62,0,2.62,2.62,0,1441.53
2020-10-13,Google Fit Workout,Exercise,12,minutes,61.9882,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-13,Google Fit Workout,Exercise,28,minutes,359.709,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-13,Steps Bonus,Exercise,-1,minutes,219.219,NA,NA,NA,NA,NA,NA,NA,NA
2020-10-14,Adult Multivitamin Gummies,Breakfast,2,Each,10,n/a,n/a,3,n/a,2,n/a,n/a,n/a
2020-10-14,"Chips, Tortilla, Restaurant Style, Original",Lunch,64,Grams,320,16,4.57,43.43,2.29,0,2.29,0,262.86
2020-10-14,"Soda, Mountain Dew",Lunch,385,Milliliters,184,0,0,49.89,0,49.89,0,0,65.7
2020-10-14,"Chips, Tortilla, Restaurant Style, Original",Dinner,56,Grams,280,14,4,38,2,0,2,0,230
2020-10-14,Nonfat Vanilla Yogurt,Dinner,1.75,Cups,140,0,8.17,25.67,n/a,23.33,0,5.83,122.50
